20161101_1813,105,-7652,-7307,-345,ln2lg1nl/4pks2/p2G1pppp/3N+b4/8P/P2p5/5PPP1/1+r2S1SK1/2s1+p2NL b P4p2gbr 105,ln2lg1nl/4pks2/p2G1pppp/3N+b4/8P/P2p5/5PPP1/1+r2S1SK1/2s1+p2NL b P4p2gbr 105,6d5b+,**候補手  候補1 時間 00:00.9 深さ 11/20 ノード数 1005938 評価値 -7307 読み筋 ▲５二桂成(64) △同　香(51) ▲同　金(63) △同　玉(42) ▲５五歩打 △６五馬(54) ▲６三歩打 △６一金打 ▲５四歩(55) △５八と(59) ▲６二歩成(63) △同　金(61) ▲５三香打 △６三玉(52) ▲１八玉(28) △３九角打
20161101_1813,107,-8487,-7784,-703,ln3g1nl/4lks2/p2G1pppp/4+b4/8P/P2p5/5PPP1/1+r2S1SK1/2s1+p2NL b 2P4pn2gbr 107,ln3g1nl/4lks2/p2G1pppp/4+b4/8P/P2p5/5PPP1/1+r2S1SK1/2s1+p2NL b 2P4pn2gbr 107,P*6d,**候補手  候補1 時間 00:01.0 深さ 11/19 ノード数 1009453 評価値 -7784 読み筋 ▲同　金(63) △同　玉(42) ▲５五歩打 △６五馬(54) ▲６三歩打 △５八龍(88) ▲６二歩成(63) △同　玉(52) ▲３九香打 △５五龍(58) ▲１八玉(28) △４四角打 ▲１四歩(15) △５三玉(62)
20161101_1813,29,-35,526,-561,ln1gkg1nl/1r4s2/p2p1pppp/4p4/2b6/PP1P5/2B1PPPPP/2R3K2/LN1G1GSNL b 2PSps 29,ln1gkg1nl/1r4s2/p2p1pppp/4p4/2b6/PP1P5/2B1PPPPP/2R3K2/LN1G1GSNL b 2PSps 29,6i5h,**候補手  候補1 時間 00:00.9 深さ 13/34 ノード数 1001764 評価値 526 読み筋 ▲７六歩打 △５三角(75) ▲８八飛(78) △６七銀打 ▲６五銀打 △４二玉(51) ▲５八金(69) △同　銀(67) ▲同　金(49) △３一玉(42) ▲５四銀(65) △４四角(53) ▲４五銀打 △５五金打 ▲４四銀(45) △５四金(55)
20161101_1813,37,-144,403,-547,ln1gkg1nl/1r4s2/p2p1pppp/4p4/9/PP1b5/2R1PPPPP/4G1K2/LN3GSNL b 3P2Spb 37,ln1gkg1nl/1r4s2/p2p1pppp/4p4/9/PP1b5/2R1PPPPP/4G1K2/LN3GSNL b 3P2Spb 37,S*7a,**候補手  候補1 時間 00:00.9 深さ 12/24 ノード数 1018220 評価値 403 読み筋 ▲５三銀打 △７七角成(66) ▲同　桂(89) △６九飛打 ▲６四歩打 △５二金(61) ▲７一銀打 △５三金(52) ▲８二銀(71) △４二玉(51) ▲２二角打 △６四歩(63) ▲７二飛打 △５二金(53) ▲１一角成(22) △９九飛成(69) ▲８一銀(82) △３一玉(42)
20161101_1813,39,-986,112,-1098,lnSgkg1nl/6s2/p2p1pppp/4p4/9/Pr1b5/2R1PPPPP/4G1K2/LN3GSNL b 3PS2pb 39,lnSgkg1nl/6s2/p2p1pppp/4p4/9/Pr1b5/2R1PPPPP/4G1K2/LN3GSNL b 3PS2pb 39,S*6b,**候補手  候補1 時間 00:00.9 深さ 11/28 ノード数 1016340 評価値 112 読み筋 ▲６二歩打 △５二金(61) ▲７二飛成(77) △９四角打 ▲６一歩成(62) △４二玉(51) ▲７八龍(72) △９九角成(66) ▲８七歩打 △９六飛(86) ▲６二と(61) △５三金(52) ▲２二銀打 △２四香打 ▲１一銀成(22)
20161101_1813,43,-2437,-967,-1470,ln3g1nl/3k2s2/p2p1pppp/4p4/9/Pr1b5/2R1PPPPP/4G1K2/LN3GSNL b 3PG2p2sb 43,ln3g1nl/3k2s2/p2p1pppp/4p4/9/Pr1b5/2R1PPPPP/4G1K2/LN3GSNL b 3PG2p2sb 43,P*7b,**候補手  候補1 時間 00:01.1 深さ 12/27 ノード数 1019787 評価値 -967 読み筋 ▲８七歩打 △７七角成(66) ▲８六歩(87) △５五馬(77) ▲８五飛打 △５三玉(62) ▲２二金打 △６九飛打 ▲３二金(22) △同　金(41) ▲８一飛成(85) △８九飛成(69) ▲５一龍(81) △５二金打 ▲２一龍(51)
20161101_1813,51,-1664,-1148,-516,lnB2g1nl/2k3s2/p2p1pppp/3sp4/3N5/P8/4PPPPP/4G1K2/L+r3GSNL b 2PG3psbr 51,lnB2g1nl/2k3s2/p2p1pppp/3sp4/3N5/P8/4PPPPP/4G1K2/L+r3GSNL b 2PG3psbr 51,G*8b,**候補手  候補1 時間 00:01.0 深さ 11/24 ノード数 1009629 評価値 -1148 読み筋 ▲７三歩打 △同　桂(81) ▲６二金打 △８三玉(72) ▲６三金(62) △７九飛打 ▲６九歩打 △６五銀(64) ▲６二角成(71) △９九龍(89) ▲６四金(63) △９六龍(99) ▲７四歩打
20161101_1813,55,-2876,-1693,-1183,lnBk1g1nl/1G4s2/p2pspppp/4p4/9/P8/4PPPPP/4G1K2/L+r3GSNL b 2P3pnsbr 55,lnBk1g1nl/1G4s2/p2pspppp/4p4/9/P8/4PPPPP/4G1K2/L+r3GSNL b 2P3pnsbr 55,P*8c,**候補手  候補1 時間 00:00.9 深さ 12/22 ノード数 1003457 評価値 -1693 読み筋 ▲同　角成(71) △６二銀打 ▲同　馬(53) △同　玉(61) ▲９一金(82) △６九飛打 ▲５九香打 △５三玉(62) ▲８一金(91) △同　龍(89) ▲４五桂打 △４二玉(53) ▲２二銀打 △４四角打 ▲１一銀成(22) △９九角成(44) ▲５三銀打 △３一玉(42) ▲２一成銀(11) △同　玉(31) ▲４二香打
20161101_1813,57,-3704,-2821,-883,lnB2g1nl/1G2k1s2/pP1pspppp/4p4/9/P8/4PPPPP/4G1K2/L+r3GSNL b P3pnsbr 57,lnB2g1nl/1G2k1s2/pP1pspppp/4p4/9/P8/4PPPPP/4G1K2/L+r3GSNL b P3pnsbr 57,8b7b,**候補手  候補1 時間 00:00.9 深さ 10/19 ノード数 1019993 評価値 -2821 読み筋 ▲８一金(82) △７九飛打 ▲５九桂打 △９九龍(89) ▲８二歩成(83) △４二玉(52) ▲９一金(81) △２四香打 ▲２八香打 △４五角打 ▲４六歩(47) △８九角成(45) ▲２六歩(27) △３四馬(89)
20161101_1813,59,-3294,-2810,-484,lnB2g1nl/2G1k1s2/p+r1pspppp/4p4/9/P8/4PPPPP/4G1K2/L4GSNL b P4pnsbr 59,lnB2g1nl/2G1k1s2/p+r1pspppp/4p4/9/P8/4PPPPP/4G1K2/L4GSNL b P4pnsbr 59,7a5c+,**候補手  候補1 時間 00:00.9 深さ 10/24 ノード数 1017544 評価値 -2810 読み筋 ▲８二角成(71) △８九龍(83) ▲８一馬(82) △７九飛打 ▲６九歩打 △同　飛成(79) ▲５九金(58) △７八龍(69) ▲４八銀(39) △３五桂打 ▲６五桂打 △６四銀(53) ▲７一馬(81) △４七桂成(35) ▲同　玉(38) △６五銀(64)
